,Year,Jurisdiction,Sector,Use of funds,Age group,Gender,Dollars per capita
60581,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,1,M,0.0
60582,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,5,M,0.0
60583,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,10,M,0.0
60584,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,15,M,3.0
60585,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,20,M,7.0
60586,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,25,M,7.0
60587,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,30,M,9.0
60588,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,35,M,10.0
60589,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,40,M,11.0
60590,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,45,M,71.0
60591,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,50,M,97.0
60592,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,55,M,156.0
60593,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,60,M,208.0
60594,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,65,M,511.0
60595,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,70,M,1184.0
60596,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,75,M,2615.0
60597,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,80,M,5985.0
60598,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,85,M,13279.0
60599,2014,Newfoundland and Labrador,Provincial/territorial government,Other institutions,90,M,15634.0
60600,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,0,F,633.0
60601,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,1,F,321.0
60602,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,5,F,267.0
60603,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,10,F,242.0
60604,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,15,F,426.0
60605,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,20,F,594.0
60606,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,25,F,763.0
60607,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,30,F,871.0
60608,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,35,F,835.0
60609,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,40,F,868.0
60610,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,45,F,924.0
60611,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,50,F,1019.0
60612,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,55,F,1110.0
60613,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,60,F,1242.0
60614,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,65,F,1506.0
60615,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,70,F,1689.0
60616,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,75,F,1917.0
60617,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,80,F,1963.0
60618,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,85,F,2053.0
60619,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,90,F,1919.0
60620,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,0,M,658.0
60621,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,1,M,346.0
60622,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,5,M,292.0
60623,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,10,M,239.0
60624,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,15,M,266.0
60625,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,20,M,283.0
60626,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,25,M,319.0
60627,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,30,M,374.0
60628,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,35,M,463.0
60629,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,40,M,516.0
60630,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,45,M,583.0
60631,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,50,M,749.0
60632,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,55,M,921.0
60633,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,60,M,1195.0
60634,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,65,M,1487.0
60635,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,70,M,1846.0
60636,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,75,M,2135.0
60637,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,80,M,2329.0
60638,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,85,M,2289.0
60639,2014,Newfoundland and Labrador,Provincial/territorial government,Physicians,90,M,2208.0
60640,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,0,F,2.0
60641,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,1,F,64.0
60642,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,5,F,185.0
60643,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,10,F,104.0
60644,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,15,F,13.0
60645,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,20,F,7.0
60646,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,25,F,9.0
60647,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,30,F,7.0
60648,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,35,F,7.0
60649,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,40,F,7.0
60650,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,45,F,7.0
60651,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,50,F,6.0
60652,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,55,F,6.0
60653,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,60,F,8.0
60654,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,65,F,18.0
60655,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,70,F,19.0
60656,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,75,F,20.0
60657,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,80,F,15.0
60658,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,85,F,16.0
60659,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,90,F,10.0
60660,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,0,M,2.0
60661,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,1,M,64.0
60662,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,5,M,181.0
60663,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,10,M,99.0
60664,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,15,M,11.0
60665,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,20,M,4.0
60666,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,25,M,4.0
60667,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,30,M,4.0
60668,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,35,M,5.0
60669,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,40,M,5.0
60670,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,45,M,5.0
60671,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,50,M,5.0
60672,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,55,M,6.0
60673,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,60,M,5.0
60674,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,65,M,13.0
60675,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,70,M,16.0
60676,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,75,M,17.0
60677,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,80,M,14.0
60678,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,85,M,10.0
60679,2014,Newfoundland and Labrador,Provincial/territorial government,Other professionals,90,M,7.0
60680,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,0,F,5.0
60681,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,1,F,17.0
60682,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,5,F,21.0
60683,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,10,F,38.0
60684,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,15,F,51.0
60685,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,20,F,96.0
60686,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,25,F,161.0
60687,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,30,F,145.0
60688,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,35,F,171.0
60689,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,40,F,196.0
60690,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,45,F,245.0
60691,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,50,F,234.0
60692,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,55,F,330.0
60693,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,60,F,363.0
60694,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,65,F,535.0
60695,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,70,F,761.0
60696,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,75,F,957.0
60697,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,80,F,1167.0
60698,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,85,F,1349.0
60699,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,90,F,1375.0
60700,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,0,M,5.0
60701,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,1,M,18.0
60702,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,5,M,29.0
60703,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,10,M,36.0
60704,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,15,M,42.0
60705,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,20,M,82.0
60706,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,25,M,117.0
60707,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,30,M,135.0
60708,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,35,M,146.0
60709,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,40,M,145.0
60710,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,45,M,163.0
60711,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,50,M,210.0
60712,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,55,M,269.0
60713,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,60,M,312.0
60714,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,65,M,444.0
60715,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,70,M,673.0
60716,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,75,M,892.0
60717,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,80,M,1061.0
60718,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,85,M,1050.0
60719,2014,Newfoundland and Labrador,Provincial/territorial government,Drugs,90,M,874.0
60720,2014,Prince Edward Island,Provincial/territorial government,Total,0,F,7603.0
60721,2014,Prince Edward Island,Provincial/territorial government,Total,1,F,1200.0
60722,2014,Prince Edward Island,Provincial/territorial government,Total,5,F,1030.0
60723,2014,Prince Edward Island,Provincial/territorial government,Total,10,F,1103.0
60724,2014,Prince Edward Island,Provincial/territorial government,Total,15,F,1791.0
60725,2014,Prince Edward Island,Provincial/territorial government,Total,20,F,1855.0
60726,2014,Prince Edward Island,Provincial/territorial government,Total,25,F,2841.0
60727,2014,Prince Edward Island,Provincial/territorial government,Total,30,F,2894.0
60728,2014,Prince Edward Island,Provincial/territorial government,Total,35,F,2335.0
60729,2014,Prince Edward Island,Provincial/territorial government,Total,40,F,2211.0
60730,2014,Prince Edward Island,Provincial/territorial government,Total,45,F,2444.0
60731,2014,Prince Edward Island,Provincial/territorial government,Total,50,F,2960.0
60732,2014,Prince Edward Island,Provincial/territorial government,Total,55,F,3392.0
60733,2014,Prince Edward Island,Provincial/territorial government,Total,60,F,4231.0
60734,2014,Prince Edward Island,Provincial/territorial government,Total,65,F,5274.0
60735,2014,Prince Edward Island,Provincial/territorial government,Total,70,F,7602.0
60736,2014,Prince Edward Island,Provincial/territorial government,Total,75,F,12814.0
60737,2014,Prince Edward Island,Provincial/territorial government,Total,80,F,19972.0
60738,2014,Prince Edward Island,Provincial/territorial government,Total,85,F,26947.0
60739,2014,Prince Edward Island,Provincial/territorial government,Total,90,F,37793.0
60740,2014,Prince Edward Island,Provincial/territorial government,Total,0,M,10073.0
60741,2014,Prince Edward Island,Provincial/territorial government,Total,1,M,1900.0
60742,2014,Prince Edward Island,Provincial/territorial government,Total,5,M,2873.0
60743,2014,Prince Edward Island,Provincial/territorial government,Total,10,M,5063.0
60744,2014,Prince Edward Island,Provincial/territorial government,Total,15,M,1342.0
60745,2014,Prince Edward Island,Provincial/territorial government,Total,20,M,1348.0
60746,2014,Prince Edward Island,Provincial/territorial government,Total,25,M,1558.0
60747,2014,Prince Edward Island,Provincial/territorial government,Total,30,M,1453.0
60748,2014,Prince Edward Island,Provincial/territorial government,Total,35,M,1632.0
60749,2014,Prince Edward Island,Provincial/territorial government,Total,40,M,2082.0
60750,2014,Prince Edward Island,Provincial/territorial government,Total,45,M,2079.0
60751,2014,Prince Edward Island,Provincial/territorial government,Total,50,M,2474.0
60752,2014,Prince Edward Island,Provincial/territorial government,Total,55,M,3714.0
60753,2014,Prince Edward Island,Provincial/territorial government,Total,60,M,4381.0
60754,2014,Prince Edward Island,Provincial/territorial government,Total,65,M,5736.0
60755,2014,Prince Edward Island,Provincial/territorial government,Total,70,M,7931.0
60756,2014,Prince Edward Island,Provincial/territorial government,Total,75,M,12945.0
60757,2014,Prince Edward Island,Provincial/territorial government,Total,80,M,21310.0
60758,2014,Prince Edward Island,Provincial/territorial government,Total,85,M,28702.0
60759,2014,Prince Edward Island,Provincial/territorial government,Total,90,M,29549.0
60760,2014,Prince Edward Island,Provincial/territorial government,Hospitals,0,F,6216.0
60761,2014,Prince Edward Island,Provincial/territorial government,Hospitals,1,F,298.0
60762,2014,Prince Edward Island,Provincial/territorial government,Hospitals,5,F,156.0
60763,2014,Prince Edward Island,Provincial/territorial government,Hospitals,10,F,252.0
60764,2014,Prince Edward Island,Provincial/territorial government,Hospitals,15,F,783.0
60765,2014,Prince Edward Island,Provincial/territorial government,Hospitals,20,F,736.0
60766,2014,Prince Edward Island,Provincial/territorial government,Hospitals,25,F,1445.0
60767,2014,Prince Edward Island,Provincial/territorial government,Hospitals,30,F,1452.0
60768,2014,Prince Edward Island,Provincial/territorial government,Hospitals,35,F,968.0
60769,2014,Prince Edward Island,Provincial/territorial government,Hospitals,40,F,890.0
60770,2014,Prince Edward Island,Provincial/territorial government,Hospitals,45,F,926.0
60771,2014,Prince Edward Island,Provincial/territorial government,Hospitals,50,F,1369.0
60772,2014,Prince Edward Island,Provincial/territorial government,Hospitals,55,F,1743.0
60773,2014,Prince Edward Island,Provincial/territorial government,Hospitals,60,F,2335.0
60774,2014,Prince Edward Island,Provincial/territorial government,Hospitals,65,F,3009.0
60775,2014,Prince Edward Island,Provincial/territorial government,Hospitals,70,F,4198.0
60776,2014,Prince Edward Island,Provincial/territorial government,Hospitals,75,F,6960.0
60777,2014,Prince Edward Island,Provincial/territorial government,Hospitals,80,F,9624.0
60778,2014,Prince Edward Island,Provincial/territorial government,Hospitals,85,F,11173.0
60779,2014,Prince Edward Island,Provincial/territorial government,Hospitals,90,F,16437.0
60780,2014,Prince Edward Island,Provincial/territorial government,Hospitals,0,M,8457.0
60781,2014,Prince Edward Island,Provincial/territorial government,Hospitals,1,M,365.0
60782,2014,Prince Edward Island,Provincial/territorial government,Hospitals,5,M,173.0
60783,2014,Prince Edward Island,Provincial/territorial government,Hospitals,10,M,254.0
60784,2014,Prince Edward Island,Provincial/territorial government,Hospitals,15,M,471.0
60785,2014,Prince Edward Island,Provincial/territorial government,Hospitals,20,M,387.0
60786,2014,Prince Edward Island,Provincial/territorial government,Hospitals,25,M,555.0
60787,2014,Prince Edward Island,Provincial/territorial government,Hospitals,30,M,392.0
60788,2014,Prince Edward Island,Provincial/territorial government,Hospitals,35,M,519.0
60789,2014,Prince Edward Island,Provincial/territorial government,Hospitals,40,M,883.0
60790,2014,Prince Edward Island,Provincial/territorial government,Hospitals,45,M,804.0
60791,2014,Prince Edward Island,Provincial/territorial government,Hospitals,50,M,1100.0
60792,2014,Prince Edward Island,Provincial/territorial government,Hospitals,55,M,2103.0
60793,2014,Prince Edward Island,Provincial/territorial government,Hospitals,60,M,2485.0
60794,2014,Prince Edward Island,Provincial/territorial government,Hospitals,65,M,3448.0
60795,2014,Prince Edward Island,Provincial/territorial government,Hospitals,70,M,4663.0
60796,2014,Prince Edward Island,Provincial/territorial government,Hospitals,75,M,7945.0
60797,2014,Prince Edward Island,Provincial/territorial government,Hospitals,80,M,12987.0
60798,2014,Prince Edward Island,Provincial/territorial government,Hospitals,85,M,15676.0
60799,2014,Prince Edward Island,Provincial/territorial government,Hospitals,90,M,16835.0
60800,2014,Prince Edward Island,Provincial/territorial government,Other institutions,0,F,0.0
60801,2014,Prince Edward Island,Provincial/territorial government,Other institutions,1,F,0.0
60802,2014,Prince Edward Island,Provincial/territorial government,Other institutions,5,F,0.0
60803,2014,Prince Edward Island,Provincial/territorial government,Other institutions,10,F,0.0
60804,2014,Prince Edward Island,Provincial/territorial government,Other institutions,15,F,15.0
60805,2014,Prince Edward Island,Provincial/territorial government,Other institutions,20,F,28.0
60806,2014,Prince Edward Island,Provincial/territorial government,Other institutions,25,F,54.0
60807,2014,Prince Edward Island,Provincial/territorial government,Other institutions,30,F,55.0
60808,2014,Prince Edward Island,Provincial/territorial government,Other institutions,35,F,36.0
60809,2014,Prince Edward Island,Provincial/territorial government,Other institutions,40,F,34.0
60810,2014,Prince Edward Island,Provincial/territorial government,Other institutions,45,F,96.0
60811,2014,Prince Edward Island,Provincial/territorial government,Other institutions,50,F,142.0
60812,2014,Prince Edward Island,Provincial/territorial government,Other institutions,55,F,180.0
60813,2014,Prince Edward Island,Provincial/territorial government,Other institutions,60,F,241.0
60814,2014,Prince Edward Island,Provincial/territorial government,Other institutions,65,F,429.0
60815,2014,Prince Edward Island,Provincial/territorial government,Other institutions,70,F,1186.0
60816,2014,Prince Edward Island,Provincial/territorial government,Other institutions,75,F,3086.0
60817,2014,Prince Edward Island,Provincial/territorial government,Other institutions,80,F,7332.0
60818,2014,Prince Edward Island,Provincial/territorial government,Other institutions,85,F,12588.0
60819,2014,Prince Edward Island,Provincial/territorial government,Other institutions,90,F,18330.0
60820,2014,Prince Edward Island,Provincial/territorial government,Other institutions,0,M,0.0
60821,2014,Prince Edward Island,Provincial/territorial government,Other institutions,1,M,0.0
